"RelPath","Ext","SizeMB","Decision","Reason"
"C11_AUTOMATION/c11_report_auto.ps1","ps1","0","include","text/code or small asset"
"C11_AUTOMATION/c11_report_auto_ascii.ps1","ps1","0","include","text/code or small asset"
"C11_AUTOMATION/C11_vault_bot_starter_configured.zip","zip","0,01","exclude","blocked extension"
"C11_AUTOMATION/c11_write_checklist.ps1","ps1","0","include","text/code or small asset"
"C11_AUTOMATION/c11_write_checklist_fixed.ps1","ps1","0","include","text/code or small asset"
"C11_AUTOMATION/CHECHA_backup_and_health.cmd","cmd","0","include","text/code or small asset"
"C11_AUTOMATION/CHECHA_night_chain.cmd","cmd","0","include","text/code or small asset"
"C11_AUTOMATION/CHECHA_night_chain_plus.cmd","cmd","0","include","text/code or small asset"
"C11_AUTOMATION/config.yaml","yaml","0","include","text/code or small asset"
"C11_AUTOMATION/EOD","","0","include","text/code or small asset"
"C11_AUTOMATION/README.md","md","0","include","text/code or small asset"
"C11_AUTOMATION/README_OPERATIONS.md","md","0","include","text/code or small asset"
"C12/C12-FLOW.md","md","0","include","text/code or small asset"
"C12/INDEX.md","md","0,01","include","text/code or small asset"
"C12/README.md","md","0","include","text/code or small asset"
"C12_v2.2/C12_v2.2_ReleaseBundle.zip","zip","0","exclude","blocked extension"
"config/ChechaCore.config.json","json","0","include","text/code or small asset"
"G23_Odesa/README.md","md","0","include","text/code or small asset"
"G23_Odesa/DATA/map_points.csv","csv","0","include","text/code or small asset"
"G23_Odesa/FORMS/form_feedback_event.md","md","0","include","text/code or small asset"
"G23_Odesa/FORMS/form_student_join.md","md","0","include","text/code or small asset"
"G43/ITETA_Digest_000.md","md","0","include","text/code or small asset"
"G43/releases/ITETA_Digest_001.md","md","0","include","text/code or small asset"
"G43/sources/SOURCES_PACK_001.md","md","0","include","text/code or small asset"
"G43/topics/ITETA_Topic_001.md","md","0","include","text/code or small asset"
"G43/topics/ITETA_Topic_002.md","md","0","include","text/code or small asset"
"G43/topics/ITETA_Topic_003.md","md","0","include","text/code or small asset"
"LEGAL/calculator_skeleton.csv","csv","0","include","text/code or small asset"
"LEGAL/financial_outline.md","md","0","include","text/code or small asset"
"logs/audit.log","log","0","include","text/code or small asset"
"logs/daystart_20250814_135805.log","log","0,03","include","text/code or small asset"
"logs/gitbook_push.log","log","0","include","text/code or small asset"
"logs/healthcheck.log","log","0","include","text/code or small asset"
"logs/push.log","log","0","include","text/code or small asset"
"logs/retention.log","log","0","include","text/code or small asset"
"logs/retention.log.1","1","0","include","text/code or small asset"
"logs/retention.log.2","2","0,01","include","text/code or small asset"
"logs/vault_bot_daily.log","log","0","include","text/code or small asset"
"logs/vault_bot_weekly.log","log","0","include","text/code or small asset"
"policies/c07-publisher.json","json","0","include","text/code or small asset"
"scripts/ChechaCore-Apply-Config.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Auto-Archive.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Deploy-INSTALLER-v21.2.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Deploy-INSTALLER-v21.3.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Log-Rotate.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Notify.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Publish-Bundle.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Restore-Drill.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Retention-Plus.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-SelfTest.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Set-Secret.ps1","ps1","0","include","text/code or small asset"
"scripts/ChechaCore-Update-From-Bundle.ps1","ps1","0","include","text/code or small asset"
"scripts/Clean-Report_Mojibake.ps1","ps1","0","include","text/code or small asset"
"scripts/DayStart.ps1","ps1","0,01","include","text/code or small asset"
"scripts/DayStart_core.ps1","ps1","0,01","include","text/code or small asset"
"scripts/DayStart_core_v3h.ps1","ps1","0,01","include","text/code or small asset"
"scripts/DayStart_fixed.ps1","ps1","0,01","include","text/code or small asset"
"scripts/DayStart_fixed_v2.ps1","ps1","0,01","include","text/code or small asset"
"scripts/HealthCheck.ps1","ps1","0","include","text/code or small asset"
"scripts/WeeklySummary.ps1","ps1","0","include","text/code or small asset"
"tasks/DayStart.xml","xml","0","include","text/code or small asset"
"tasks/HealthCheck.xml","xml","0","include","text/code or small asset"
"tasks/LogsRotate.xml","xml","0","include","text/code or small asset"
"tasks/WeeklySummary.xml","xml","0","include","text/code or small asset"
"tasks/20250814_140424/DayStart.xml","xml","0","include","text/code or small asset"
"tasks/20250814_140424/LogsRotate.xml","xml","0","include","text/code or small asset"
"tools/.empty","empty","0","include","text/code or small asset"
"tools/C07_bucket_layout.ps1","ps1","0","include","text/code or small asset"
"tools/C07_cleanup.ps1","ps1","0","include","text/code or small asset"
"tools/C07_daily_kpi_task.ps1","ps1","0","include","text/code or small asset"
"tools/C07_minio_bootstrap.ps1","ps1","0","include","text/code or small asset"
"tools/C07_oneclick.ps1","ps1","0","include","text/code or small asset"
"tools/C07_oneclick.ps1.txt","txt","0","include","text/code or small asset"
"tools/C07_oneclick_wrap.ps1","ps1","0","include","text/code or small asset"
"tools/C07_open_latest.ps1","ps1","0","include","text/code or small asset"
"tools/C07_PLAYBOOK.ps1","ps1","0","include","text/code or small asset"
"tools/C07_presign.ps1","ps1","0","include","text/code or small asset"
"tools/C07_sanity.ps1","ps1","0,01","include","text/code or small asset"
"tools/C07_weekly_now.ps1","ps1","0","include","text/code or small asset"
"tools/C07_weekly_rollup.ps1","ps1","0,01","include","text/code or small asset"
"tools/C07_weekly_rollup_v2.ps1","ps1","0,01","include","text/code or small asset"
"tools/C07_weekly_wrap.ps1","ps1","0","include","text/code or small asset"
"tools/CHECHA.env.ps1","ps1","0","include","text/code or small asset"
"tools/CHECHA_CORE_C07_BASELINE_v1.0_2025-08-18.zip","zip","0","exclude","blocked extension"
"tools/CHECHA_CORE_C07_v1.1_2025-08-18.zip","zip","0,01","exclude","blocked extension"
"tools/CHECHA_DAILY_CLOSE.ps1","ps1","0,01","include","text/code or small asset"
"tools/CHECHA_DAY_START.ps1","ps1","0","include","text/code or small asset"
"tools/CHECHA_RESTORE_DRILL.ps1","ps1","0","include","text/code or small asset"
"tools/CHECHA_WEEKLY_RESTORE_DRILL.ps1","ps1","0","include","text/code or small asset"
"tools/Clean-Report_ASCIIOnly.ps1","ps1","0","include","text/code or small asset"
"tools/Clean-Report_Mojibake.ps1","ps1","0","include","text/code or small asset"
"tools/DayStart_core_v3.ps1","ps1","0,01","include","text/code or small asset"
"tools/deploy_c07_v2.ps1","ps1","0,01","include","text/code or small asset"
"tools/deploy_c07_v3.ps1","ps1","0","include","text/code or small asset"
"tools/deploy_c07_v4.ps1","ps1","0","include","text/code or small asset"
"tools/publish_c07.ps1","ps1","0","include","text/code or small asset"
"tools/publish_c07_v2.ps1","ps1","0,01","include","text/code or small asset"
"tools/publish_c07_v3.ps1","ps1","0","include","text/code or small asset"
"tools/publish_c07_v4.ps1","ps1","0","include","text/code or small asset"
"tools/publish_c07_v5.ps1","ps1","0","include","text/code or small asset"
"tools/publish_c07_v6.ps1","ps1","0","include","text/code or small asset"
"tools/update_daily_kpi_v11.ps1","ps1","0","include","text/code or small asset"
"tools/Verify-CHECHA_CORE.ps1","ps1","0","include","text/code or small asset"
"tools/_env.ps1","ps1","0","include","text/code or small asset"
"_logs/C07_oneclick.ps1_20250824_210600.log","log","0","include","text/code or small asset"
"_logs/C07_weekly_now.ps1_20250824_210500.log","log","0","include","text/code or small asset"
